UAE FREEZONE COMPANIES LIST ,,,By: Darkreaper
Sno,Company Name,E mail Address,
1,20:20 Logistics Middle East FZE,paul.owen@2020log.com,
2,3GNS FZCO,asad.badaei@3gns.com,
3,A & M Corp. FZCO,av@amDubai.com,
4,A Hak International Contractors Asia FZE,ankushi@a-hakinternational.ae,
5,A.D. Middle East FZE,adfza@eim.ae,
6,A.Z. Logistic FZE,info@azlogistic.net,
7,ABBOT LABORATORIES,elie.abdelkarim@abbott.co,
8,ABC Telecom FZCO,S.A.(Branch),
9,ABOURA METALS FZCO,info@abourametals.com,
10,Accardia FZCO,rst@zeoplant.ae,
11,Accord Customer Care Solutions FZCO,majdiayoub@accordccs.com,
12,Accton Technology Corporation FZCO,hina@accton-smc.ae,
13,ACE Marketing & Distribution FZE,marketing@acemd.com,
14,ADCC Infocad (Branch),infocad_ngp@sancharnet.in,
15,ADECO FZCO,info@adecofzco.com,
16,ADI Services FZE,management@adilogistics.com,
17,Advanced Security Engineering FZE,michael.pedersen@atase.ae,
18,Aecom GSS Ltd. (Branch),Permanently closed,
19,Aero-Net Middle East (Branch),,
20,Aerovista FZCO,info@aerovista.aero                                     dxb@aerovista.ae,
21,Aesa Middle East FZCO,philippe.bessat@telefonic.net,
22,AFI Logistics FZCO,dubai@afilogistics.com,
23,Agusta Aerospace Services (Branch),agustadu@emirates.net.ae,
24,AIC Ltd. (Branch),magdy@aviatrans.com,
25,AIM Electronics FZE,aim43aim@yahoo.com,
26,Air Charter Service FZCO,DXBprivate@aircharterservice.com,
27,Air Partner PLC (Branch),info@airpartner.com,
28,Airborne Systems FZE,info@absfze.net <info@absfze.net,
29,AIRBUS MIDDLE EAST FZE,erecruiting@airbus.com,
30,Aircraft Technical Support (Branch),atsdubai@emirates.net.ae,
31,AIRLINE CARGO RESOURCES FZCO,contactus@acrdxb.com,
32,Akshar Impex FZE,hitesh@calculus-me.com,
33,Akshi Investment Limited (Branch),akshi@emirates.net.ae,
34,AKZENTA DUBAI FZCO,info@akzenta.ae,
35,Al Baddad International FZCO,info@albaddad.com,
36,Al Basha Communication FZE.,info@albashamobile.aeinfo@albashamobile.ae,
37,Al Dammam Electronics FZCO,,
38,Al Fahim Italia (Branch),info@alfahim.ae,
39,Al Leewan Restaurant (Branch),Permanently closed,
40,Al Madar Est - Aire Inflight (Branch),aire@aire-inflight.ae,
41,Al Maha Capital Services FZCO,sunil@almahacapital.com,
42,Al Manal Development FZCO,support@manal-me.com,
43,Al Missally FZCO,info@al-missally.com,
44,Al Rais Travel and Shipping Agencies (Branch),info@alrais.com,
45,Al Salam 319 Ltd. (Branch),davmac@compuserve.com,
46,AL SAMH FZCO,info@basamh.com,
47,Al Tariq Corp. Limited FZCO,momany@habibalmulla.com,
48,Al Ula FZCO,al_ulaa_info@yahoo.com,
49,Al Wakeel International FZE,info@alwakeelfze.com,
50,Al Watani Telecom FZE,info@watanitelecom.com,
51,"ALBA Engineering &
Management Services and Trade FZCO",info@albaengineering.com,
52,Albayt Medical FZCO,shouse@sh.com.kw,
53,Aldiwan Translation & Typing (Branch),aldiwan@aldiwanuae.com,
54,ALES FZCO,ales@ales.aero,
55,Alhamrani Universal (Branch),fsouza@universal.com.sa,
56,Alissar Flowers International FZCO,customercare@alissarflowers.com,
57,Alkor International (Branch),mail@alkorkz.com,
58,All Body Solutions Inc (Branch),manfredshah@gmail.com,
59,Allied Technical Resources FZCO,info@ccsons.co.uk,
60,ALPHA 55 (Branch),sales@alphatech.ccsales@alpha55.net,
61,Alpha Middle East Holdings Ltd. (Branch),hadim@alpha55.net,
62,Alpha Omega Beauty FZCO,sonia@alphaomega-beauty.com,
63,Altair FZCO,info@altair.ae,
64,"Alternative Capital Invest
GmbH & Co. II. Dubai Tower KG (Branch)",info@ac-invest.com,
65,Alternative Capital Invest GmbH (Branch),,
66,"Alternative Capital Invest
GmbH and Co. Dubai Lake Tower KG (Branch)",,
67,"AMARAVATHI RESTAURANT
(Branch)","mail@tradelinellc.ae
info@amarylliscorp.com
mariam@amefzco.ae
g.tesch@ammann.de
milind@amparooverseas.com
amri@amrit.ae
amit@ddfze.ae",
68,Amaryllis H & R FZCO,,
69,AME FZCO,,
70,Ammann Asphalt NME (Branch),,
71,Amparo Overseas FZE,,
72,AMRIT FZE,,
73,AMSCA Trading FZE,,
74,AMX ME FZCO,sales@martinpro-me.com,
75,ANHAM FZCO,,
76,ANNAKA FZCO,,
77,ANNEX FZCO,,
78,Anwar Kubaisa FZE,,
79,APEX International Group FZCO,,
80,Applebees UK LLC (Branch),,
81,APS Middle East FZE,,
82,AQUAGULF LTD. (Branch),,
83,"Arabian Air Travel Agencies
L.L.C. (Branch)",,
84,Arabian Heights Residences FZCO,,
85,Arabian Marketing Corp. FZCO,,
86,Arabian Medical Marketing Co. Ltd. (Branch),,
87,Arabian Power Mobile Phones FZCO,,
88,Arcluce Middle East (Branch),,
89,ARIAN FZCO,,
90,ARINC (Branch),,
91,Armacell Middle East (Branch),,
92,ASA Shipping Company FZCO,,
93,Asean International LTD. (Branch),,
94,Asia Business Company FZCO,,
95,ASN FZE,,
96,ASTA Trading FZE,,
97,aster airservices FZCO,,
98,Aster Diamonds FZCO,,
99,ATEIS Middle East FZCO,,
100,ATG Airports Middle East Ltd (Branch),,
101,"Atlas Air, Inc. (Branch)",,
102,Atlas Medical FZCO,,
103,Audi Volkswagen Middle East FZE,,
104,AURIGA-NeST Middle East FZCO,,
105,AuthenTec Holdings FZCO,,
106,Avantgarde Middle East GmbH & Co KG (Branch),,
107,Avanti Express Logistics FZE,,
108,"AVERDA S.A.L. (Holding)
Gulf (Branch)",,
109,Aviation Services Management LTD. (Branch),,
110,Aviatrans International FZCO,,
111,Avienco FZCO,,
112,AVINET (Branch),,
113,Axis Communications (Branch),,
114,Axis Telecom FZCO,,
115,B and M FZCO,,
116,B/E Aerospace (UK) limited (Branch),info@beaerospace.com,
117,B2B FZE,,
118,Baan International (Middle East Branch),,
119,Barcode Logistics FZCO,,
120,Bardawil Aviation Co. (Offshore) s.a.l. (Branch),,
121,Bardawil Aviation FZCO,,
122,BARNETTS MIDDLE EAST FZCO,,
123,Barwil Dubai LLC (Branch),,
124,Base Systems FZCO,,
125,Basell Gulf FZE,,
126,Bauer Equipment Gulf FZE,,
127,Bauer Gulf FZE,,
128,Bax Global L.L.C. (Branch),,
129,BDP (Dubai) LLC. (Branch),,
130,Beauty & Fragrance International FZCO,,
131,Beauty and Scents Int. FZCO,,
132,Belimo Automation FZE,,
133,Bell Com FZCO,,
134,Bemo Systems Middle East FZCO,,
135,Bene AG - Middle East (Branch),,
136,BenQ Middle East (Branch),,
137,Berg Propulsion Middle East (Branch),,
138,Best Homes Emirates Real Estate Construction FZCO,,
139,Betafence Middle East (Branch),,
140,BFI (MEA) (Branch),,
141,Bijan International FZCO,,
142,Bilcare Limited (Branch),,
143,Biltube India Limited (Branch).,,
144,Bioderma Middle East and Indian Subcontinent (Branch),,
145,Biolife FZCO,,
146,Biologix FZCO,,
147,Bisazza Gulf FZE,,
148,Blenz Coffee (Branch),,
149,Blenz Middle East FZE,,
150,Blossom Jewels FZE,,
151,BLP International FZE,,
152,Blue Cell FZE,,
153,Body Solutions FZCO,,
154,Boeing International Corporation (Branch),,
155,Boeing International Logistics Spares Inc. (Branch),,
156,Bommidala Enterprises Middle East (Branch),,
157,BPC Banking Technologies (Branch),,
158,Brand Garden FZCO,,
159,Brandenburg Economic Development Office (Branch),,
160,Braxda Telecom FZCO,,
161,Brenitshu FZCO,,
162,Briggs & Stratton AG (Branch),,
163,Brilliant Stone FZE,,
164,Brinks Global Services FZE,,
165,Brueckner Middle East FZE,,
166,Burj Petroleum Corporation (Branch),,
167,"Burns & McDonnell
Engineering Company Inc (Branch)",,
168,C3 Automation (Branch),,
169,CAE Aviation Training International Ltd. (Branch),,
170,Caelum International FZCO,,
171,Cafe De Paris (Branch),,
172,Calgaro Group FZCO,,
173,California Software Co. LTD. (Branch),,
174,Callatay + Wouters FZE,,
175,Callmate Telecom FZE,,
176,Camelot Oil & Gas Development FZCO,,
177,Captains Freight Services FZCO,,
178,Car Hire Group FZE,,
179,"Cartridge World Middle East ""Al-Roomi Group"" (Branch)",,
180,Casio Computer Co. Ltd. (Branch),,
181,Caspian Petrochemical FZE,,
182,Caterpillar S.A.R.L. Middle East (Branch),,
183,Celkor International FZE,,
184,CELL EXPRESS FZE,,
185,Cellucom Africa FZCO,,
186,Cellucom FZCO,,
